ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.422,1.11.9,*1,F01
1,0.422,1.5.1,*1,F01
1,0.422,1.5.5,*1,F01
1,0.422,1.6.15,*1,F01
1,0.422,1.5.10,*2,F01
1,0.422,1.5.14,*2,F01
1,0.422,1.5.16,*2,F01
1,0.422,1.5.9,*2,F01
1,0.422,1.6.14,*2,F01
1,0.422,1.6.3,*2,F01
1,0.422,1.6.6,*2,F01
1,0.422,1.11.2,*3,F01
1,0.422,1.11.4,*3,F01
1,0.422,1.11.7,*3,F01
1,0.422,1.5.11,*3,F01
1,0.422,1.5.15,*3,F01
1,0.422,1.5.2,*3,F01
1,0.422,1.11.10,*4,F01
1,0.422,1.11.11,*4,F01
1,0.422,1.11.14,*4,F01
1,0.422,1.11.3,*4,F01
1,0.422,1.11.5,*4,F01
1,0.422,1.11.8,*4,F01
1,0.422,1.5.13,*4,F01
1,0.422,1.5.6,*4,F01
1,0.422,1.5.8,*4,F01
1,0.422,1.11.12,*5,F01
1,0.422,1.5.3,*5,F01
1,0.422,1.5.7,*5,F01
1,0.422,1.11.13,*6,F01
1,0.422,1.6.11,*6,F01
1,0.422,1.6.9,*6,F01
1,0.422,1.11.1,*5,F01
1,0.422,1.11.15,*7,F01
1,0.422,1.11.16,*8,F01
1,0.422,1.11.6,*9,F01
1,0.422,1.5.12,*10,F01
1,0.422,1.5.4,*11,F01
1,0.422,1.6.2,*12,F01
1,0.422,1.6.8,*13,F01
1,0.422,6.2.13,*9,F06
1,0.422,6.2.9,*9,F06
1,0.422,6.3.10,*9,F06
1,0.422,6.3.3,*9,F06
1,0.422,6.3.7,*9,F06
1,0.422,6.5.12,*9,F06
1,0.422,6.5.14,*9,F06
1,0.422,6.5.3,*9,F06
1,0.422,6.5.13,*24,F06
1,0.422,6.5.16,*24,F06
1,0.422,6.5.2,*24,F06
1,0.422,6.5.5,*24,F06
1,0.422,6.5.7,*24,F06
1,0.422,6.2.10,*25,F06
1,0.422,6.2.11,*25,F06
1,0.422,6.2.7,*25,F06
1,0.422,6.3.13,*25,F06
1,0.422,6.3.14,*25,F06
1,0.422,6.3.6,*25,F06
1,0.422,6.2.1,*26,F06
1,0.422,6.2.16,*26,F06
1,0.422,6.3.4,*26,F06
1,0.422,6.2.14,*27,F06
1,0.422,6.2.3,*27,F06
1,0.422,6.2.4,*27,F06
1,0.422,6.2.5,*27,F06
1,0.422,6.2.8,*27,F06
1,0.422,6.3.1,*27,F06
1,0.422,6.3.12,*27,F06
1,0.422,6.3.5,*27,F06
1,0.422,6.5.9,*27,F06
1,0.422,6.2.2,*28,F06
1,0.422,6.2.6,*28,F06
1,0.422,6.3.11,*28,F06
1,0.422,6.5.15,*28,F06
1,0.422,6.3.16,*29,F06
1,0.422,6.3.9,*29,F06
1,0.422,6.5.6,*29,F06
1,0.422,6.2.12,*30,F06
1,0.422,6.2.15,*29,F06
1,0.422,6.3.15,*31,F06
1,0.422,6.3.8,*30,F06
